Date,Price,Open,High,Low,Vol.,Change %
11/30/2018,24.69,24.69,24.69,24.69,0.01K,0.22%
11/29/2018,24.635,24.635,24.635,24.635,,1.38%
11/28/2018,24.3,24.4,24.4,24.4,0.02K,-3.42%
11/27/2018,25.16,24.795,24.995,24.79,0.03K,2.51%
11/26/2018,24.545,24.27,24.55,24.115,0.04K,-1.11%
11/23/2018,24.82,24.035,25.17,24.035,0.06K,1.31%
11/21/2018,24.5,24.195,24.42,24.195,0.02K,0.62%
11/20/2018,24.35,24.43,24.5,24.265,0.06K,0.83%
11/19/2018,24.15,24.31,24.39,24.31,0.01K,-6.95%
11/16/2018,25.955,26.725,26.725,25.65,0.06K,-2.70%
11/15/2018,26.675,26.15,26.72,26.15,0.06K,1.50%
11/14/2018,26.28,26.26,26.475,26.26,0.03K,-0.90%
11/13/2018,26.52,26.235,26.58,26.235,0.09K,2.18%
11/12/2018,25.955,25.625,25.905,25.625,0.05K,6.70%
11/9/2018,24.325,24.76,24.76,24.545,0.02K,-0.43%
11/8/2018,24.43,24.63,24.63,24.63,0.01K,0.04%
11/7/2018,24.42,24.33,24.445,24.33,0.02K,2.20%
11/6/2018,23.895,23.625,23.77,23.625,0.02K,0.36%
11/5/2018,23.81,23.81,23.81,23.81,,-1.96%
11/2/2018,24.285,23.905,23.97,23.905,0.01K,2.68%
11/1/2018,23.65,23.975,23.975,23.975,0.01K,-2.81%
10/31/2018,24.335,24.335,24.335,24.335,,1.93%
10/30/2018,23.875,23.875,23.875,23.875,,-2.87%
10/29/2018,24.58,24.58,24.58,24.58,,1.24%
10/26/2018,24.28,24.28,24.28,24.28,,-2.35%
10/25/2018,24.865,24.865,24.865,24.865,,-1.56%
10/24/2018,25.26,25.26,25.26,25.26,,-1.58%
10/23/2018,25.665,25.665,25.665,25.665,,-1.72%
10/22/2018,26.115,26.115,26.115,26.115,,-2.77%
10/19/2018,26.86,26.86,26.86,26.86,,3.21%
10/18/2018,26.025,26.025,26.025,26.025,,0.33%
10/17/2018,25.94,25.625,25.625,25.625,0.00K,-1.48%
10/16/2018,26.33,26.33,26.33,26.33,0.01K,-1.11%
10/15/2018,26.625,27.05,27.05,27.05,0.01K,-0.02%
10/12/2018,26.63,26.63,26.63,26.63,,3.38%
10/11/2018,25.76,25.925,25.925,25.925,0.01K,-1.75%
10/10/2018,26.22,26.625,26.625,26.625,0.02K,-2.29%
10/9/2018,26.835,26.835,26.835,26.835,,-1.41%
10/8/2018,27.22,27.22,27.22,27.22,,-2.44%
10/5/2018,27.9,27.9,27.9,27.9,,1.57%
10/4/2018,27.47,27.47,27.47,27.47,,1.31%
10/3/2018,27.115,27.115,27.115,27.115,,-0.51%
